,date,state,fips,cases,deaths
321,2021-03-18,District of Columbia,11,42892,1046
322,2021-03-18,Delaware,10,91425,1517
323,2021-03-18,Connecticut,9,295484,7822
324,2021-03-18,Colorado,8,449206,6144
325,2021-03-18,California,6,3635303,57187
326,2021-03-18,Arkansas,5,328045,5515
327,2021-03-18,Arizona,4,834607,16645
328,2021-03-18,Alaska,2,60606,296
329,2021-03-18,Alabama,1,510048,10391
330,2021-03-17,Wyoming,56,55449,693
331,2021-03-17,Wisconsin,55,627266,7203
332,2021-03-17,West Virginia,54,136334,2565
333,2021-03-17,Washington,53,354906,5212
334,2021-03-17,Virginia,51,598468,10154
335,2021-03-17,Virgin Islands,78,2767,25
336,2021-03-17,Vermont,50,17106,217
337,2021-03-17,Utah,49,379780,2037
338,2021-03-17,Texas,48,2742767,47000
339,2021-03-17,Tennessee,47,781593,11555
340,2021-03-17,South Dakota,46,114966,1915
341,2021-03-17,South Carolina,45,536100,8933
342,2021-03-17,Rhode Island,44,132184,2588
343,2021-03-17,Puerto Rico,72,136962,2085
344,2021-03-17,Pennsylvania,42,979065,24749
345,2021-03-17,Oregon,41,160348,2358
346,2021-03-17,Oklahoma,40,433516,4788
347,2021-03-17,Ohio,39,993681,17992
348,2021-03-17,Northern Mariana Islands,69,157,2
349,2021-03-17,North Dakota,38,101315,1490
350,2021-03-17,North Carolina,37,894250,11783
351,2021-03-17,New York,36,1762032,48686
352,2021-03-17,New Mexico,35,188907,3874
353,2021-03-17,New Jersey,34,848875,24004
354,2021-03-17,New Hampshire,33,79367,1202
355,2021-03-17,Nevada,32,300190,5148
356,2021-03-17,Nebraska,31,205896,2238
357,2021-03-17,Montana,30,102602,1398
358,2021-03-17,Missouri,29,576363,8806
359,2021-03-17,Mississippi,28,301602,6936
360,2021-03-17,Minnesota,27,500030,6824
361,2021-03-17,Michigan,26,680273,16800
362,2021-03-17,Massachusetts,25,606377,16732
363,2021-03-17,Maryland,24,395817,8099
364,2021-03-17,Maine,23,47591,725
365,2021-03-17,Louisiana,22,439002,9955
366,2021-03-17,Kentucky,21,421780,5197
367,2021-03-17,Kansas,20,301763,4837
368,2021-03-17,Iowa,19,344268,5668
369,2021-03-17,Indiana,18,677705,12893
370,2021-03-17,Illinois,17,1217258,23255
371,2021-03-17,Idaho,16,176589,1937
372,2021-03-17,Hawaii,15,28423,448
373,2021-03-17,Guam,66,8745,135
374,2021-03-17,Georgia,13,1013340,17801
375,2021-03-17,Florida,12,1989016,32503
376,2021-03-17,District of Columbia,11,42811,1044
377,2021-03-17,Delaware,10,91123,1516
378,2021-03-17,Connecticut,9,294328,7807
379,2021-03-17,Colorado,8,447840,6136
380,2021-03-17,California,6,3631735,56952
381,2021-03-17,Arkansas,5,327781,5507
382,2021-03-17,Arizona,4,834329,16586
383,2021-03-17,Alaska,2,60451,293
384,2021-03-17,Alabama,1,509476,10363
385,2021-03-16,Wyoming,56,55352,693
386,2021-03-16,Wisconsin,55,626537,7184
387,2021-03-16,West Virginia,54,136019,2546
388,2021-03-16,Washington,53,353981,5206
389,2021-03-16,Virginia,51,597141,10104
390,2021-03-16,Virgin Islands,78,2767,25
391,2021-03-16,Vermont,50,17047,215
392,2021-03-16,Utah,49,379081,2032
393,2021-03-16,Texas,48,2738219,46827
394,2021-03-16,Tennessee,47,779888,11547
395,2021-03-16,South Dakota,46,114791,1912
396,2021-03-16,South Carolina,45,534869,8881
397,2021-03-16,Rhode Island,44,131750,2583
398,2021-03-16,Puerto Rico,72,136893,2083
399,2021-03-16,Pennsylvania,42,975872,24714
400,2021-03-16,Oregon,41,160084,2348
401,2021-03-16,Oklahoma,40,433025,4788
402,2021-03-16,Ohio,39,992223,17992
403,2021-03-16,Northern Mariana Islands,69,154,2
404,2021-03-16,North Dakota,38,101181,1489
405,2021-03-16,North Carolina,37,892563,11753
406,2021-03-16,New York,36,1755450,48624
407,2021-03-16,New Mexico,35,188664,3862
408,2021-03-16,New Jersey,34,844563,23966
